Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,26/12/2020 12:37,FALSE,Woking Running,5.69,375,00:31:29,137,154,2.9,155,201,05:32,04:40,13,13,1.15,9.5,11.1,281,49.8% L / 50.2% R,0,0,0,31:29:00,00:00,0,00:00,No,03:39.0,6,0
Running,25/12/2020 09:06,FALSE,Woking Running,10.01,609,00:54:43,137,156,3,157,179,05:28,04:50,23,24,1.15,9.2,10.8,277,50.1% L / 49.9% R,0,0,0,54:43:00,00:00,0,00:00,No,00:03.7,11,0
Running,24/12/2020 07:29,FALSE,Woking Running,5.66,358,00:31:58,133,148,2.6,157,175,05:39,04:59,28,27,1.13,9.4,10.9,282,49.7% L / 50.3% R,0,0,0,31:58:00,00:00,0,00:00,No,03:35.6,6,0
Running,23/12/2020 07:30,FALSE,Woking Running,5.66,353,00:32:04,132,147,2.5,157,221,05:40,04:49,27,29,1.1,9.5,10.7,281,49.9% L / 50.1% R,0,0,0,32:04:00,00:00,0,00:00,No,03:36.9,6,0
Running,22/12/2020 07:35,FALSE,Woking Running,5.69,358,00:31:41,134,154,2.7,157,193,05:34,04:38,26,26,1.12,9.6,10.9,281,49.7% L / 50.3% R,0,0,0,31:41:00,00:00,0,00:00,No,03:33.5,6,0
Running,20/12/2020 08:18,FALSE,Woking Running,10.01,622,00:56:10,135,150,2.8,156,181,05:37,04:55,26,25,1.13,9.9,11.4,276,50.1% L / 49.9% R,0,0,0,56:10:00,00:00,0,00:00,No,00:02.1,11,0
Running,19/12/2020 08:24,FALSE,Woking Running,10.01,619,00:55:54,136,152,2.9,157,198,05:35,04:40,39,39,1.13,9.5,11,279,50.1% L / 49.9% R,0,0,0,55:54:00,00:00,0,00:00,No,00:02.6,11,0
Running,17/12/2020 07:35,FALSE,Woking Running,5.67,349,00:32:12,132,147,2.4,156,208,05:41,04:54,18,17,1.11,9.4,10.7,285,50.2% L / 49.8% R,0,0,0,32:12:00,00:00,0,00:00,No,03:43.5,6,0
Running,16/12/2020 07:27,FALSE,Woking Running,5.67,349,00:31:59,131,146,2.4,155,182,05:38,04:46,9,12,1.13,9.4,10.8,285,50.1% L / 49.9% R,0,0,0,31:59:00,00:00,0,00:00,No,00:12.9,7,0
Running,13/12/2020 08:00,FALSE,Woking Running,5.67,335,00:31:35,131,144,2.3,157,181,05:34,04:51,11,14,1.14,9.2,10.6,282,50.2% L / 49.8% R,0,0,0,31:35:00,00:00,0,00:00,No,03:46.3,6,0
